url,name,title,Path,Slice Name,Alias(s),Label,Min,Max,Must Support?,Is Modifier?,Is Summary?,Type(s),Short,Definition,Comments,Requirements,Default Value,Meaning When Missing,Fixed Value,Pattern,Example,Minimum Value,Maximum Value,Maximum Length,Binding Strength,Binding Description,Binding Value Set,Code,Slicing Discriminator,Slicing Description,Slicing Ordered,Slicing Rules,Base Path,Base Min,Base Max,Condition(s),Constraint(s),Mapping: RIM Mapping,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.referenceRange.modifierExtension,,"extensions
user contentmodifiers",,0,*,,Y,Y,"Extension {[]} {[]}
",Extensions that cannot be ignored even if unrecognized,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/extensibility.html#modifierExtension).",,,,,,,,,,,,,,,,BackboneElement.modifierExtension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.referenceRange.low,,,,0,1,,,,"Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Low Range, if relevant","The value of the low bound of the reference range.  The low bound of the reference range endpoint is inclusive of the value (e.g.  reference range is >=5 - <=9). If the low bound is omitted,  it is assumed to be meaningless (e.g. reference range is <=2.3).",,,,,,,,,,,,,,,,,,Observation.referenceRange.low,0,1,"obs-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",OBX-7,value:IVL_PQ.low,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.referenceRange.high,,,,0,1,,,,"Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","High Range, if relevant","The value of the high bound of the reference range.  The high bound of the reference range endpoint is inclusive of the value (e.g.  reference range is >=5 - <=9). If the high bound is omitted,  it is assumed to be meaningless (e.g. reference range is >= 2.3).",,,,,,,,,,,,,,,,,,Observation.referenceRange.high,0,1,"obs-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",OBX-7,value:IVL_PQ.high,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.referenceRange.type,,,,0,1,,,,"CodeableConcept {[]} {[]}
",Reference range qualifier,"Codes to indicate the what part of the targeted reference population it applies to. For example, the normal or therapeutic range.",This SHOULD be populated if there is more than one range.  If this element is not present then the normal range is assumed.,"Need to be able to say what kind of reference range this is - normal, recommended, therapeutic, etc.,  - for proper interpretation.",,,,,,,,,preferred,Code for the meaning of a reference range.,http://hl7.org/fhir/ValueSet/referencerange-meaning,,,,,Observation.referenceRange.type,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 260245000 |Findings values| OR  ,,,,,
< 365860008 |General clinical state finding| ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 250171008 |Clinical history or observation findings| OR  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 415229000 |Racial group| OR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 365400002 |Finding of puberty stage| OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 443938003 |Procedure carried out on subject|,OBX-10,interpretationCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.referenceRange.appliesTo,,,,0,*,,,,"CodeableConcept {[]} {[]}
",Reference range population,"Codes to indicate the target population this reference range applies to.  For example, a reference range may be based on the normal population or a particular sex or race.  Multiple `appliesTo`  are interpreted as an ""AND"" of the target populations.  For example, to represent a target population of African American females, both a code of female and a code for African American would be used.",This SHOULD be populated if there is more than one range.  If this element is not present then the normal population is assumed.,Need to be able to identify the target population for proper interpretation.,,,,,,,,,example,Codes identifying the population the reference range applies to.,http://hl7.org/fhir/ValueSet/referencerange-appliesto,,,,,Observation.referenceRange.appliesTo,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 260245000 |Findings values| OR  ,,,,,
< 365860008 |General clinical state finding| ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 250171008 |Clinical history or observation findings| OR  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 415229000 |Racial group| OR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 365400002 |Finding of puberty stage| OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 443938003 |Procedure carried out on subject|,OBX-10,interpretationCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.referenceRange.age,,,,0,1,,,,"Range {[]} {[]}
","Applicable age range, if relevant",The age at which this reference range is applicable. This is a neonatal age (e.g. number of weeks at term) if the meaning says so.,,Some analytes vary greatly over age.,,,,,,,,,,,,,,,,Observation.referenceRange.age,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","outboundRelationship[typeCode=PRCN].targetObservationCriterion[code=""age""].value",,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.referenceRange.text,,,,0,1,,,,"string {[]} {[]}
",Text based reference range in an observation,"Text based reference range in an observation which may be used when a quantitative range is not appropriate for an observation.  An example would be a reference value of ""Negative"" or a list or table of ""normals"".",,,,,,,,,,,,,,,,,,Observation.referenceRange.text,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",OBX-7,value:ST,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.hasMember,,,,0,*,,,Y,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse], CanonicalType[http://hl7.org/fhir/StructureDefinition/MolecularSequence], CanonicalType[http://hl7.org/fhir/StructureDefinition/vitalsigns]]}
",Used when reporting vital signs panel components,Used when reporting vital signs panel components.,"When using this element, an observation will typically have either a value or a set of related resources, although both may be present in some cases.  For a discussion on the ways Observations can assembled in groups together, see [Notes](http://hl7.org/fhir/observation.html#obsgrouping) below.  Note that a system may calculate results from [QuestionnaireResponse](http://hl7.org/fhir/questionnaireresponse.html)  into a final score and represent the score as an Observation.",,,,,,,,,,,,,,,,,Observation.hasMember,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",Relationships established by OBX-4 usage,outBoundRelationship,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.derivedFrom,,,,0,*,,,Y,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference], CanonicalType[http://hl7.org/fhir/StructureDefinition/ImagingStudy], CanonicalType[http://hl7.org/fhir/StructureDefinition/Media], CanonicalType[http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse], CanonicalType[http://hl7.org/fhir/StructureDefinition/MolecularSequence], CanonicalType[http://hl7.org/fhir/StructureDefinition/vitalsigns]]}
",Related measurements the observation is made from,"The target resource that represents a measurement from which this observation value is derived. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.","All the reference choices that are listed in this element can represent clinical observations and other measurements that may be the source for a derived value.  The most common reference will be another Observation.  For a discussion on the ways Observations can assembled in groups together, see [Notes](http://hl7.org/fhir/observation.html#obsgrouping) below.",,,,,,,,,,,,,,,,,Observation.derivedFrom,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",Relationships established by OBX-4 usage,.targetObservation,,,,
